,E,z_PS,z_SS,d_V_dir,d_V_smr,g_V_nm
0,0.9(22),0.0(3.3)e-06,4.4(4.4)e-05,3.4(3.4)e-05,0.00019(19),4.92(50)
1,1.40(22),0.0(3.3)e-06,4.4(4.4)e-05,3.4(3.4)e-05,0.00019(19),0.0(1.0)
2,1.60(22),0.0(3.3)e-06,4.4(4.4)e-05,3.4(3.4)e-05,0.00019(19),0.0(1.0)
3,1.70(22),0.0(3.3)e-06,4.4(4.4)e-05,3.4(3.4)e-05,0.00019(19),0.0(1.0)
4,,,,,,0.0(1.0)
5,,,,,,0.0(1.0)
6,,,,,,0.0(1.0)
7,,,,,,0.0(1.0)
8,,,,,,0.0(1.0)
9,,,,,,0.0(1.0)
10,,,,,,0.0(1.0)
11,,,,,,0.0(1.0)
12,,,,,,0.0(1.0)
13,,,,,,0.0(1.0)
14,,,,,,0.0(1.0)
15,,,,,,0.0(1.0)
