,E,z_PS,z_SS,d_V_dir,d_V_smr,g_V_nm
0,1.15(22),0.0(3.3)e-06,0.000014(14),9.0(9.0)e-06,1.2(1.2)e-05,0.95(32)
1,1.77(42),0.0(3.3)e-06,0.000014(14),9.0(9.0)e-06,1.2(1.2)e-05,0.0(1.0)
2,2.02(42),0.0(3.3)e-06,0.000014(14),9.0(9.0)e-06,1.2(1.2)e-05,0.0(1.0)
3,2.15(42),0.0(3.3)e-06,0.000014(14),9.0(9.0)e-06,1.2(1.2)e-05,0.0(1.0)
4,,,,,,0.0(1.0)
5,,,,,,0.0(1.0)
6,,,,,,0.0(1.0)
7,,,,,,0.0(1.0)
8,,,,,,0.0(1.0)
9,,,,,,0.0(1.0)
10,,,,,,0.0(1.0)
11,,,,,,0.0(1.0)
12,,,,,,0.0(1.0)
13,,,,,,0.0(1.0)
14,,,,,,0.0(1.0)
15,,,,,,0.0(1.0)
