,E,z_PS,z_SS,d_V_dir,d_V_smr,g_V_nm
0,1.18(42),0.0(3.3)e-06,4.4(4.4)e-06,2.4(2.4)e-06,1.2(1.2)e-06,0.9(42)
1,1.90(42),0.0(3.3)e-06,4.4(4.4)e-06,2.4(2.4)e-06,1.2(1.2)e-06,0.0(1.0)
2,2.05(42),0.0(3.3)e-06,4.4(4.4)e-06,2.4(2.4)e-06,1.2(1.2)e-06,0.0(1.0)
3,2.20(42),0.0(3.3)e-06,4.4(4.4)e-06,2.4(2.4)e-06,1.2(1.2)e-06,0.0(1.0)
4,,,,,,0.0(1.0)
5,,,,,,0.0(1.0)
6,,,,,,0.0(1.0)
7,,,,,,0.0(1.0)
8,,,,,,0.0(1.0)
9,,,,,,0.0(1.0)
10,,,,,,0.0(1.0)
11,,,,,,0.0(1.0)
12,,,,,,0.0(1.0)
13,,,,,,0.0(1.0)
14,,,,,,0.0(1.0)
15,,,,,,0.0(1.0)
