,E,z_PS,z_SS,d_V_dir,d_V_smr,g_V_nm
0,1.15(32),0.0(1.0)e-05,0.000024(24),2.4(2.4)e-05,1.2(1.2)e-05,2.0(42)
1,1.80(32),0.0(1.0)e-05,0.000024(24),2.4(2.4)e-05,1.2(1.2)e-05,0.0(1.0)
2,2.0(32),0.0(1.0)e-05,0.000024(24),2.4(2.4)e-05,1.2(1.2)e-05,0.0(1.0)
3,2.2(32),0.0(1.0)e-05,0.000024(24),2.4(2.4)e-05,1.2(1.2)e-05,0.0(1.0)
4,,,,,,0.0(1.0)
5,,,,,,0.0(1.0)
6,,,,,,0.0(1.0)
7,,,,,,0.0(1.0)
8,,,,,,0.0(1.0)
9,,,,,,0.0(1.0)
10,,,,,,0.0(1.0)
11,,,,,,0.0(1.0)
12,,,,,,0.0(1.0)
13,,,,,,0.0(1.0)
14,,,,,,0.0(1.0)
15,,,,,,0.0(1.0)
